name,steam_appid,required_age,legal_notice,platforms,categories,genres,recommendations,achievements,release_date,price,english,developer,publisher
Counter-Strike,10,0,,windows;mac;linux,Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Valve Anti-Cheat enabled;Family Sharing,Action,{'total': 148756},0,2000-11-01,9.99,1,Valve,Valve
Team Fortress Classic,20,0,,windows;mac;linux,Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Valve Anti-Cheat enabled;Remote Play Together;Family Sharing,Action,{'total': 5994},0,1999-04-01,4.99,1,Valve,Valve
Day of Defeat,30,0,,windows;mac;linux,Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action,{'total': 4004},0,2003-05-01,4.99,1,Valve,Valve
Deathmatch Classic,40,0,,windows;mac;linux,Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Valve Anti-Cheat enabled;Remote Play Together;Family Sharing,Action,{'total': 2102},0,2001-06-01,4.99,1,Valve,Valve
Half-Life: Opposing Force,50,0,,windows;mac;linux,Single-player;Multi-player;Valve Anti-Cheat enabled;Remote Play Together;Family Sharing,Action,{'total': 18699},0,1999-11-01,4.99,1,Gearbox Software,Valve
Ricochet,60,0,,windows;mac;linux,Multi-player;PvP;Online PvP;Valve Anti-Cheat enabled;Family Sharing,Action,{'total': 3971},0,2000-11-01,4.99,1,Valve,Valve
Half-Life,70,0,,windows;mac;linux,Single-player;Multi-player;PvP;Online PvP;Full controller support;Steam Cloud;Valve Anti-Cheat enabled;Remote Play on Phone;Remote Play on Tablet;Remote Play Together;Family Sharing,Action,{'total': 91080},0,1998-11-08,9.99,1,Valve,Valve
Counter-Strike: Condition Zero,80,0,,windows;mac;linux,Single-player;Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action,{'total': 18222},0,2004-03-01,9.99,1,Valve,Valve
Half-Life: Blue Shift,130,0,,windows;mac;linux,Single-player;Remote Play Together;Family Sharing,Action,{'total': 13737},0,2001-06-01,4.99,1,Gearbox Software,Valve
Half-Life 2,220,0,,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Includes Source SDK;Remote Play on Phone;Remote Play on Tablet;Remote Play Together;Family Sharing,Action,{'total': 150602},33,2004-11-16,9.99,1,Valve,Valve
Counter-Strike: Source,240,0,,windows;mac;linux,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Family Sharing,Action,{'total': 115613},147,2004-11-01,9.99,1,Valve,Valve
Half-Life: Source,280,0,,windows;mac;linux,Single-player;Remote Play Together;Family Sharing,Action,{'total': 13014},0,2004-06-01,9.99,1,Valve,Valve
Day of Defeat: Source,300,0,,windows;mac;linux,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Family Sharing,Action,{'total': 14371},54,2010-07-12,9.99,1,Valve,Valve
Half-Life 2: Deathmatch,320,0,,windows;mac;linux,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK;Family Sharing,Action,{'total': 8628},0,2004-11-01,4.99,1,Valve,Valve
Half-Life Deathmatch: Source,360,0,,windows;mac;linux,Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action,{'total': 3415},0,2006-05-01,9.99,1,Valve,Valve
Half-Life 2: Episode One,380,0,,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Stats;Includes Source SDK;Commentary available;Remote Play Together;Family Sharing,Action,{'total': 24219},13,2006-06-01,7.99,1,Valve,Valve
Portal,400,0,,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Captions available;Includes level editor;Includes Source SDK;Commentary available;Remote Play on Phone;Remote Play on Tablet;Remote Play Together;Family Sharing,Action,{'total': 133099},15,2007-10-10,9.99,1,Valve,Valve
Half-Life 2: Episode Two,420,0,,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Stats;Includes Source SDK;Commentary available;Remote Play Together;Family Sharing,Action,{'total': 31983},23,2007-10-10,7.99,1,Valve,Valve
Left 4 Dead,500,0,,windows;mac,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available;Remote Play on TV;Remote Play Together;Family Sharing,Action,{'total': 46194},73,2008-11-17,9.99,1,Valve,Valve
Left 4 Dead 2,550,0,,windows;mac;linux,Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available;Remote Play on Phone;Remote Play on Tablet;Remote Play on TV;Remote Play Together;Family Sharing,Action,{'total': 637362},101,2009-11-16,9.99,1,Valve,Valve
Dota 2,570,0,,windows;mac;linux,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Strategy;Free to Play,{'total': 14328},0,2013-07-09,0.0,1,Valve,Valve
Portal 2,620,0,,windows;mac;linux,Single-player;Multi-player;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available;Remote Play on Phone;Remote Play on Tablet;Remote Play on TV;Remote Play Together;Family Sharing,Action;Adventure,{'total': 321118},51,2011-04-18,9.99,1,Valve,Valve
Alien Swarm,630,0,,windows,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor;Remote Play Together,Action,{'total': 304},66,2010-07-19,0.0,1,Valve,Valve
Killing Floor,1250,17,Killing Floor ©2009-2015 by Tripwire Interactive. Killing Floor® is a registered trademark of Tripwire Interactive in the USA and other countries. All rights reserved.,windows;mac;linux,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor;Family Sharing,Action,{'total': 37076},285,2009-05-14,19.99,1,Tripwire Interactive,Tripwire Interactive
Source Filmmaker,1840,0,The Source Filmmaker is offered to Steam users under the terms of the Steam Subscriber Agreement. The following additional terms apply: http://www.sourcefilmmaker.com/sfm_subscription_agreement/,windows,Steam Workshop,Animation & Modeling;Video Production,{'total': 232},0,2012-07-10,0.0,1,Valve,Valve
Dark Messiah of Might & Magic,2100,17,,windows,Single-player;Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action;RPG,{'total': 7453},0,2006-10-25,9.99,1,Arkane Studios,Ubisoft
DOOM (1993),2280,0,"© 2022 Bethesda Softworks LLC, a ZeniMax Media company. Bethesda, Bethesda Softworks, ZeniMax and related logos are registered trademarks or trademarks of ZeniMax Media Inc. in the U.S. and/or other countries. DOOM, id, id Software and related logos are registered trademarks or trademarks of id Software LLC in the U.S. and/or other countries. All Rights Reserved.",windows,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Full controller support;Steam Cloud;Remote Play Together;Family Sharing,Action,{'total': 15163},0,2007-08-03,4.99,1,id Software,id Software
Quake,2310,17,"© 2021 Bethesda Softworks LLC, a ZeniMax Media company. Bethesda, Bethesda Softworks, ZeniMax and related logos are registered trademarks or trademarks of ZeniMax Media Inc. in the U.S. and/or other countries. QUAKE, id, id Software, id Tech and related logos are registered trademarks or trademarks of id Software LLC in the U.S. and/or other countries. All Rights Reserved.",windows,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Full controller support;Steam Cloud;Remote Play Together;Family Sharing,Action,{'total': 11251},35,2007-08-03,9.99,1,id Software;Nightdive Studios;MachineGames,Bethesda Softworks
The Ship: Murder Party,2400,0,,windows,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Steam Trading Cards;Valve Anti-Cheat enabled;Family Sharing,Action;Indie;RPG,{'total': 2547},0,2006-07-11,9.99,1,Outerlight Ltd.,Blazing Griffin
Call of Duty® 2,2630,0,"© 2017 Activision Publishing, Inc.  Activision and Call of Duty are registered trademarks of Activision Publishing, Inc.  All rights reserved.  All other trademarks and trade names are the properties of their respective owners.",windows;mac,Single-player;Multi-player;Family Sharing,Action,{'total': 7354},0,2006-10-13,19.99,1,Infinity Ward,Activision
