steam_appid,pc_requirements,mac_requirements,linux_requirements,minimum,recommended
440,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® 7 (32/64-bit)/Vista/XP<br></li><li><strong>Processor:</strong> 1.7 GHz Processor or better<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>DirectX:</strong> Version 8.1<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® 7 (32/64-bit)<br></li><li><strong>Processor:</strong> Pentium 4 processor (3.0GHz, or better)<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> OS X version Leopard 10.5.8 and above<br></li><li><strong>Processor:</strong> 1.7 GHz Processor or better<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce 8 or higher, ATI X1600 or higher, Intel HD 3000 or higher<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu 12.04<br></li><li><strong>Processor:</strong> Dual core from Intel or AMD at 2.8 GHz<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space<br></li><li><strong>Sound Card:</strong> OpenAL Compatible Sound Card</li></ul>'}","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® 7 (32/64-bit)/Vista/XP<br></li><li><strong>Processor:</strong> 1.7 GHz Processor or better<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>DirectX:</strong> Version 8.1<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® 7 (32/64-bit)<br></li><li><strong>Processor:</strong> Pentium 4 processor (3.0GHz, or better)<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>"
730,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows® 10<br></li><li><strong>Processor:</strong> 4 hardware CPU threads - Intel® Core™ i5 750 or higher<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 85 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> MacOS X 10.11 (El Capitan) or later<br></li><li><strong>Processor:</strong> Intel Core Duo Processor (2GHz or better)<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> ATI Radeon HD 2400 or better / NVIDIA 8600M or better<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu 20.04<br></li><li><strong>Processor:</strong> 4 hardware CPU threads - Intel® Core™ i5 750 or higher<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> AMD GCN+ or NVIDIA Kepler+ with up-to-date Vulkan drivers.  Support for VK_EXT_graphics_pipeline_library highly recommended.<br></li><li><strong>Storage:</strong> 85 GB available space<br></li><li><strong>Sound Card:</strong> Highly recommended</li></ul>'}","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows® 10<br></li><li><strong>Processor:</strong> 4 hardware CPU threads - Intel® Core™ i5 750 or higher<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 85 GB available space</li></ul>",
203290,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows Vista<br></li><li><strong>Processor:</strong> 2.4+ GHz Quad Core CPU<br></li><li><strong>Memory:</strong> 4096 MB RAM<br></li><li><strong>Graphics:</strong> Direct X 9.0c compliant, Shader 3.0 enabled video card with 512MB RAM<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 10000 MB available space<br></li><li><strong>Sound Card:</strong> Direct X 9.0c compliant sound card<br></li><li><strong>Additional Notes:</strong> Requires Internet Explorer 9 or later and the latest Windows Media Player</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Microsoft Windows 7 or higher<br></li><li><strong>Processor:</strong> 3.3+GHz Core i5 CPU<br></li><li><strong>Memory:</strong> 8192 MB RAM<br></li><li><strong>Graphics:</strong> Direct X 9.0c compliant, Shader 3.0 enabled video card with 1GB RAM<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 10000 MB available space<br></li><li><strong>Sound Card:</strong> Direct X 9.0c compliant sound card<br></li><li><strong>Additional Notes:</strong> Requires Internet Explorer 9 or later and the latest Windows Media Player</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows Vista<br></li><li><strong>Processor:</strong> 2.4+ GHz Quad Core CPU<br></li><li><strong>Memory:</strong> 4096 MB RAM<br></li><li><strong>Graphics:</strong> Direct X 9.0c compliant, Shader 3.0 enabled video card with 512MB RAM<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 10000 MB available space<br></li><li><strong>Sound Card:</strong> Direct X 9.0c compliant sound card<br></li><li><strong>Additional Notes:</strong> Requires Internet Explorer 9 or later and the latest Windows Media Player</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Microsoft Windows 7 or higher<br></li><li><strong>Processor:</strong> 3.3+GHz Core i5 CPU<br></li><li><strong>Memory:</strong> 8192 MB RAM<br></li><li><strong>Graphics:</strong> Direct X 9.0c compliant, Shader 3.0 enabled video card with 1GB RAM<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 10000 MB available space<br></li><li><strong>Sound Card:</strong> Direct X 9.0c compliant sound card<br></li><li><strong>Additional Notes:</strong> Requires Internet Explorer 9 or later and the latest Windows Media Player</li></ul>"
298110,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (64-bit)<br></li><li><strong>Processor:</strong> 2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 955<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 460 or AMD Radeon HD5850 (1 GB VRAM)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 30 GB available space<br></li><li><strong>Sound Card:</strong> DirectX-compatible (5.1 surround sound recommended)<br></li><li><strong>Additional Notes:</strong> Windows-compatible keyboard, mouse, optional controller (Xbox 360 Controller for Windows recommended)</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (64-bit)<br></li><li><strong>Processor:</strong> 2.5 GHz Intel® Core™ i5-2400S or 4.0 GHz AMD FX-8350 or better<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 680 or AMD Radeon R9 290X or better (2 GB VRAM)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 30 GB available space<br></li><li><strong>Sound Card:</strong> DirectX-compatible (5.1 surround sound recommended)<br></li><li><strong>Additional Notes:</strong> Supported video cards at the time of release: NVIDIA GeForce GTX 460 or better, GeForce GTX 700 series; AMD Radeon HD5850 or better, Radeon R9 series. Note: Laptop versions of these cards may work but are NOT officially supported.</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (64-bit)<br></li><li><strong>Processor:</strong> 2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 955<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 460 or AMD Radeon HD5850 (1 GB VRAM)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 30 GB available space<br></li><li><strong>Sound Card:</strong> DirectX-compatible (5.1 surround sound recommended)<br></li><li><strong>Additional Notes:</strong> Windows-compatible keyboard, mouse, optional controller (Xbox 360 Controller for Windows recommended)</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (64-bit)<br></li><li><strong>Processor:</strong> 2.5 GHz Intel® Core™ i5-2400S or 4.0 GHz AMD FX-8350 or better<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 680 or AMD Radeon R9 290X or better (2 GB VRAM)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 30 GB available space<br></li><li><strong>Sound Card:</strong> DirectX-compatible (5.1 surround sound recommended)<br></li><li><strong>Additional Notes:</strong> Supported video cards at the time of release: NVIDIA GeForce GTX 460 or better, GeForce GTX 700 series; AMD Radeon HD5850 or better, Radeon R9 series. Note: Laptop versions of these cards may work but are NOT officially supported.</li></ul>"
333930,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (64-bit)<br></li><li><strong>Processor:</strong> 2.33 GHz Dual Core<br></li><li><strong>Memory:</strong> 3 GB RAM<br></li><li><strong>Graphics:</strong> 512MB - GeForce 7800GTX<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 7 GB available space<br></li><li><strong>Sound Card:</strong> Generic Sound Card</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (64-bit) or better<br></li><li><strong>Processor:</strong> 2.0 GHz Quad Core or better<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> 2GB - GeForce 710 or better<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 7 GB available space<br></li><li><strong>Sound Card:</strong> Generic Sound Card</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (64-bit)<br></li><li><strong>Processor:</strong> 2.33 GHz Dual Core<br></li><li><strong>Memory:</strong> 3 GB RAM<br></li><li><strong>Graphics:</strong> 512MB - GeForce 7800GTX<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 7 GB available space<br></li><li><strong>Sound Card:</strong> Generic Sound Card</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (64-bit) or better<br></li><li><strong>Processor:</strong> 2.0 GHz Quad Core or better<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> 2GB - GeForce 710 or better<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 7 GB available space<br></li><li><strong>Sound Card:</strong> Generic Sound Card</li></ul>"
431960,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (with Aero), 8.1, 10, 11<br></li><li><strong>Processor:</strong> 1.66 GHz Intel i5 or equivalent<br></li><li><strong>Memory:</strong> 1024 MB RAM<br></li><li><strong>Graphics:</strong> HD Graphics 4000 or above<br></li><li><strong>DirectX:</strong> Version 10<br></li><li><strong>Storage:</strong> 512 MB available space<br></li><li><strong>Additional Notes:</strong> Windows N versions require the \'Media Feature Pack\' from Microsoft. Aero must be enabled on Windows 7. Max video resolutions: Windows 8, 10: 4K, Windows 7: 1080p</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10, Windows 11<br></li><li><strong>Processor:</strong> 2.0 GHz Intel i7 or equivalent<br></li><li><strong>Memory:</strong> 2048 MB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 660, AMD HD7870, 2 GB VRAM or above<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 1024 MB available space<br></li><li><strong>Additional Notes:</strong> Mobile App requires Android 8.1 or newer</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (with Aero), 8.1, 10, 11<br></li><li><strong>Processor:</strong> 1.66 GHz Intel i5 or equivalent<br></li><li><strong>Memory:</strong> 1024 MB RAM<br></li><li><strong>Graphics:</strong> HD Graphics 4000 or above<br></li><li><strong>DirectX:</strong> Version 10<br></li><li><strong>Storage:</strong> 512 MB available space<br></li><li><strong>Additional Notes:</strong> Windows N versions require the 'Media Feature Pack' from Microsoft. Aero must be enabled on Windows 7. Max video resolutions: Windows 8, 10: 4K, Windows 7: 1080p</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10, Windows 11<br></li><li><strong>Processor:</strong> 2.0 GHz Intel i7 or equivalent<br></li><li><strong>Memory:</strong> 2048 MB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce GTX 660, AMD HD7870, 2 GB VRAM or above<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 1024 MB available space<br></li><li><strong>Additional Notes:</strong> Mobile App requires Android 8.1 or newer</li></ul>"
1520470,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS *:</strong> Windows 7, Windows 8.1,Windows10<br></li><li><strong>Processor:</strong> Intel I5 8400 /AMD Ryzen5 1500X<br></li><li><strong>Memory:</strong> 6 GB RAM<br></li><li><strong>Graphics:</strong> NVDIA GTX 970/ AMD RX 560<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS *:</strong> Windows 7, Windows 8.1,Windows10<br></li><li><strong>Processor:</strong> Intel I7 8700 /AMD Ryzen5 2600<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVDIA GTX 2060  / AMD RX 5600XT<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS *:</strong> Windows 7, Windows 8.1,Windows10<br></li><li><strong>Processor:</strong> Intel I5 8400 /AMD Ryzen5 1500X<br></li><li><strong>Memory:</strong> 6 GB RAM<br></li><li><strong>Graphics:</strong> NVDIA GTX 970/ AMD RX 560<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS *:</strong> Windows 7, Windows 8.1,Windows10<br></li><li><strong>Processor:</strong> Intel I7 8700 /AMD Ryzen5 2600<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVDIA GTX 2060  / AMD RX 5600XT<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 15 GB available space</li></ul>"
31270,"{'minimum': '<strong>Minimum:</strong><br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP / Vista / Windows 7<br>\t\t\t\t\t\t</li><li><strong>Processor:</strong> 2.0 GHz +<br>\t\t\t\t\t\t</li><li><strong>Memory:</strong> 512MB<br>\t\t\t\t\t\t</li><li><strong>Graphics:</strong> 64MB DirectX 8.1-compliant video card<br>\t\t\t\t\t\t</li><li><strong>DirectX®:</strong> DirectX 8.1 or greater<br>\t\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 220MB<br>\t\t\t\t\t\t</li><li><strong>Sound:</strong> DirectX 8.1 or greater sound device<br>\t\t\t\t\t</li></ul>', 'recommended': '<strong>Recommended:</strong><br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP / Vista / Windows 7<br>\t\t\t\t\t\t</li><li><strong>Processor:</strong> 3 GHz Pentium 4 or greater<br>\t\t\t\t\t\t</li><li><strong>Memory:</strong> 1GB<br>\t\t\t\t\t\t</li><li><strong>Graphics:</strong> 128MB DirectX 8.1-compliant video card<br>\t\t\t\t\t\t</li><li><strong>DirectX®:</strong> DirectX 8.1 or greater<br>\t\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 220MB<br>\t\t\t\t\t\t</li><li><strong>Sound:</strong> DirectX 8.1 or greater sound device<br>\t\t\t\t\t</li></ul>'}","{'minimum': '<ul class=""bb_ul""><li><strong>OS:</strong> Mac OS X 10.5 or newer<br>\t\t\t\t\t\t</li><li><strong>Processor:</strong> Intel Core 2 Duo processor<br>\t\t\t\t\t\t</li><li><strong>Other:</strong> Not recommended for: Macs with integrated graphics<br>\t\t\t\t\t</li></ul>'}",[],"<strong></strong><br>					<ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP / Vista / Windows 7<br>						</li><li><strong>Processor:</strong> 2.0 GHz +<br>						</li><li><strong>Memory:</strong> 512MB<br>						</li><li><strong>Graphics:</strong> 64MB DirectX 8.1-compliant video card<br>						</li><li><strong>DirectX®:</strong> DirectX 8.1 or greater<br>						</li><li><strong>Hard Drive:</strong> 220MB<br>						</li><li><strong>Sound:</strong> DirectX 8.1 or greater sound device<br>					</li></ul>","<strong></strong><br>					<ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP / Vista / Windows 7<br>						</li><li><strong>Processor:</strong> 3 GHz Pentium 4 or greater<br>						</li><li><strong>Memory:</strong> 1GB<br>						</li><li><strong>Graphics:</strong> 128MB DirectX 8.1-compliant video card<br>						</li><li><strong>DirectX®:</strong> DirectX 8.1 or greater<br>						</li><li><strong>Hard Drive:</strong> 220MB<br>						</li><li><strong>Sound:</strong> DirectX 8.1 or greater sound device<br>					</li></ul>"
420530,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows Vista or later<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> OpenGL 2.1 compatible</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> <br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> </li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> macOS Sierra (10.12) or later<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> OpenGL 2.1 compatible</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> <br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> </li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Your favorite Linux distribution<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> OpenGL 2.1 compatible</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> <br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> </li></ul>'}","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows Vista or later<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> OpenGL 2.1 compatible</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> <br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> </li></ul>"
916440,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10(64-bit versions only)<br></li><li><strong>Processor:</strong> Intel i5 3470, AMD FX 6350<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce 670 GTX or AMD Radeon R9 285 (2 GB of VRAM, Shader Model 5.0)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 60 GB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10(64-bit versions only)<br></li><li><strong>Processor:</strong> Intel i5 4690k, AMD Ryzen 5 1400<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce 970 GTX or AMD Radeon RX 480 (4 GB of VRAM, Shader Model 5.1)<br></li><li><strong>DirectX:</strong> Version 12<br></li><li><strong>Storage:</strong> 60 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10(64-bit versions only)<br></li><li><strong>Processor:</strong> Intel i5 3470, AMD FX 6350<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce 670 GTX or AMD Radeon R9 285 (2 GB of VRAM, Shader Model 5.0)<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 60 GB available space</li></ul>","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10(64-bit versions only)<br></li><li><strong>Processor:</strong> Intel i5 4690k, AMD Ryzen 5 1400<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA GeForce 970 GTX or AMD Radeon RX 480 (4 GB of VRAM, Shader Model 5.1)<br></li><li><strong>DirectX:</strong> Version 12<br></li><li><strong>Storage:</strong> 60 GB available space</li></ul>"
